creationTimestamp,modificationTimestamp,applicationId,caseReference
2018-03-15T12:51:20.882Z,2018-03-15T12:51:20.882Z,33,105701
2018-03-14T11:30:27.348Z,2018-03-14T11:30:27.348Z,33,105311
2018-01-23T12:50:35.009Z,2018-03-14T11:26:38.509Z,33,88001
2018-01-04T13:53:11.592Z,2018-03-14T11:26:00.524Z,33,81911
2018-03-14T11:24:13.635Z,2018-03-14T11:24:13.635Z,33,105301
2018-03-14T11:18:50.103Z,2018-03-14T11:18:50.103Z,33,105291
2017-12-14T11:52:00.171Z,2018-03-14T10:51:04.299Z,33,76301
2018-03-14T10:48:43.197Z,2018-03-14T10:48:43.197Z,33,105281
2018-03-14T10:43:09.296Z,2018-03-14T10:43:09.296Z,33,105271
2018-03-14T10:41:03.837Z,2018-03-14T10:41:03.837Z,33,105251
2018-03-13T13:55:05.223Z,2018-03-13T13:55:05.223Z,33,105071
2018-02-12T08:31:59.340Z,2018-03-13T10:47:57.225Z,33,92461
2018-02-12T08:55:40.310Z,2018-03-13T10:45:48.090Z,33,92491
2018-03-13T10:04:59.663Z,2018-03-13T10:04:59.663Z,33,105041
2018-03-13T10:03:03.762Z,2018-03-13T10:03:21.677Z,33,105031
2018-02-12T08:41:57.003Z,2018-03-13T09:33:29.686Z,33,92471
2018-03-13T09:12:13.151Z,2018-03-13T09:12:13.151Z,33,105021
2018-02-12T10:08:20.041Z,2018-03-13T09:07:05.647Z,33,92611
2018-03-12T10:37:10.243Z,2018-03-12T10:37:10.243Z,33,104871
2018-02-23T16:34:41.235Z,2018-02-23T16:34:41.235Z,33,101971
2018-02-22T14:14:54.060Z,2018-02-22T14:14:54.060Z,33,101841
2018-02-13T01:06:22.138Z,2018-02-13T01:06:22.138Z,33,92751
2018-02-12T10:40:02.937Z,2018-02-12T10:40:02.937Z,33,92691
2018-02-12T10:36:29.125Z,2018-02-12T10:36:29.125Z,33,92681
2018-02-12T10:32:19.757Z,2018-02-12T10:32:19.757Z,33,92671
2018-02-12T10:29:28.657Z,2018-02-12T10:29:28.657Z,33,92661
2018-02-12T10:27:43.041Z,2018-02-12T10:27:43.041Z,33,92651
2018-01-22T10:49:41.035Z,2018-02-12T10:24:42.325Z,33,87551
2018-02-12T10:18:25.032Z,2018-02-12T10:18:25.032Z,33,92641
2018-02-12T10:10:18.971Z,2018-02-12T10:13:38.908Z,33,92621
2018-02-12T10:13:06.198Z,2018-02-12T10:13:06.198Z,33,92631
2018-02-12T10:02:08.583Z,2018-02-12T10:02:08.583Z,33,92601
2018-02-12T10:00:42.258Z,2018-02-12T10:00:42.258Z,33,92591
2018-02-12T09:59:32.061Z,2018-02-12T09:59:32.061Z,33,92581
2018-02-12T09:57:33.645Z,2018-02-12T09:57:33.645Z,33,92571
2018-02-12T09:55:53.533Z,2018-02-12T09:55:53.533Z,33,92561
2018-02-12T09:33:21.794Z,2018-02-12T09:33:21.794Z,33,92551
2018-02-12T09:31:48.810Z,2018-02-12T09:31:48.810Z,33,92541
2018-02-12T09:31:27.703Z,2018-02-12T09:31:27.703Z,33,92531
2018-02-12T09:29:33.992Z,2018-02-12T09:29:33.992Z,33,92521
2018-02-12T09:27:28.259Z,2018-02-12T09:27:28.259Z,33,92511
2017-12-18T08:45:07.495Z,2018-02-12T08:59:23.788Z,33,77351
2018-02-12T08:46:18.382Z,2018-02-12T08:46:18.382Z,33,92481
2018-01-04T17:00:30.759Z,2018-02-12T08:23:08.733Z,33,82031
2018-02-12T08:11:35.151Z,2018-02-12T08:11:35.151Z,33,92451
2018-02-12T08:09:56.229Z,2018-02-12T08:09:56.229Z,33,92441
2018-02-12T08:08:28.502Z,2018-02-12T08:08:28.502Z,33,92431
2018-02-08T14:38:43.136Z,2018-02-08T14:39:28.537Z,33,92071
2018-02-08T14:38:03.367Z,2018-02-08T14:38:03.367Z,33,92061
2018-02-02T09:50:55.259Z,2018-02-02T09:50:55.259Z,33,90841
2018-02-01T14:59:43.584Z,2018-02-01T14:59:43.584Z,33,90611
2018-02-01T14:58:25.462Z,2018-02-01T14:58:25.462Z,33,90601
2018-01-31T16:11:15.578Z,2018-01-31T16:11:15.578Z,33,90301
2018-01-22T10:51:05.674Z,2018-01-22T10:51:05.674Z,33,87561
2018-01-18T09:48:06.498Z,2018-01-18T09:48:06.498Z,33,86581
2018-01-16T17:52:49.120Z,2018-01-16T17:52:49.120Z,33,85961
2018-01-16T17:29:53.372Z,2018-01-16T17:29:53.372Z,33,85951
2018-01-16T16:19:47.195Z,2018-01-16T16:19:47.195Z,33,85931
2018-01-16T16:19:24.196Z,2018-01-16T16:19:24.196Z,33,85921
2018-01-16T16:08:05.284Z,2018-01-16T16:08:05.284Z,33,85901
2018-01-15T09:39:18.655Z,2018-01-15T09:39:18.655Z,33,85441
2018-01-10T17:13:56.847Z,2018-01-10T17:13:56.847Z,33,84001
2018-01-10T17:13:35.005Z,2018-01-10T17:13:35.005Z,33,83991
2018-01-09T15:15:49.404Z,2018-01-09T15:15:49.404Z,33,83291
2018-01-09T15:11:55.757Z,2018-01-09T15:11:55.757Z,33,83281
2017-12-18T11:40:18.985Z,2018-01-08T09:58:35.101Z,33,77391
2018-01-08T09:55:20.635Z,2018-01-08T09:55:20.635Z,33,82951
2018-01-04T13:55:56.344Z,2018-01-04T20:34:22.252Z,33,81921
2018-01-04T17:22:28.662Z,2018-01-04T17:22:28.662Z,33,82061
2018-01-04T16:57:33.261Z,2018-01-04T17:05:58.169Z,33,82021
2018-01-04T17:02:44.740Z,2018-01-04T17:04:18.239Z,33,82041
2018-01-04T15:22:08.183Z,2018-01-04T15:22:08.183Z,33,82001
2018-01-04T15:21:57.851Z,2018-01-04T15:21:57.851Z,33,81991
2018-01-04T15:20:23.663Z,2018-01-04T15:20:23.663Z,33,81981
2018-01-04T15:18:42.581Z,2018-01-04T15:18:42.581Z,33,81971
2018-01-04T15:17:46.133Z,2018-01-04T15:17:46.133Z,33,81961
2018-01-04T15:14:18.871Z,2018-01-04T15:14:18.871Z,33,81951
2017-12-15T17:11:18.596Z,2017-12-18T08:56:55.141Z,33,76711
2017-12-14T11:47:31.176Z,2017-12-18T08:55:44.309Z,33,76291
2017-12-14T11:42:45.217Z,2017-12-18T08:47:33.209Z,33,76281
2017-12-15T15:25:56.265Z,2017-12-15T15:25:56.265Z,33,76681
2017-12-15T15:22:06.513Z,2017-12-15T15:22:06.513Z,33,76671
2017-12-14T11:37:43.852Z,2017-12-14T11:37:43.852Z,33,76271
2017-12-14T09:26:55.005Z,2017-12-14T09:26:55.005Z,33,76231
2017-12-14T09:23:47.623Z,2017-12-14T09:23:47.623Z,33,76221
2017-12-14T09:21:23.374Z,2017-12-14T09:21:23.374Z,33,76211
2017-12-14T09:20:47.012Z,2017-12-14T09:20:47.012Z,33,76201
2017-12-14T09:19:59.623Z,2017-12-14T09:19:59.623Z,33,76191
2017-12-11T08:54:33.052Z,2017-12-11T08:54:33.052Z,33,75011
2018-03-28T09:44:40.968Z,2018-03-28T09:44:40.968Z,51,109691
2017-12-13T17:00:02.646Z,2017-12-13T17:00:02.646Z,51,75951
2017-06-02T12:25:32.561Z,2017-06-02T12:27:56.116Z,62,1541
2017-10-19T12:31:18.152Z,2017-10-19T12:31:18.152Z,193,47841
2017-09-19T14:37:09.726Z,2017-09-19T14:37:09.726Z,193,36201
2017-09-14T15:06:49.971Z,2017-09-14T15:06:49.971Z,193,34341
2017-09-14T15:03:56.126Z,2017-09-14T15:03:56.126Z,193,34331
2017-09-14T14:56:33.255Z,2017-09-14T14:56:33.255Z,193,33931
2017-09-14T14:56:08.956Z,2017-09-14T14:56:08.956Z,193,34321
2017-09-14T14:53:38.512Z,2017-09-14T14:53:38.512Z,193,33921
2017-09-14T14:34:41.264Z,2017-09-14T14:34:41.264Z,193,34301
2017-09-14T14:34:31.421Z,2017-09-14T14:34:31.421Z,193,34291
2017-09-14T14:34:18.179Z,2017-09-14T14:34:18.179Z,193,33911
2017-09-14T14:32:15.214Z,2017-09-14T14:32:15.214Z,193,34281
2017-09-14T14:31:36.001Z,2017-09-14T14:31:36.001Z,193,34271
2017-09-14T09:26:46.452Z,2017-09-14T09:26:46.452Z,193,34221
2017-09-13T14:10:40.582Z,2017-09-13T14:10:40.582Z,193,33731
2017-09-13T09:38:18.417Z,2017-09-13T09:38:18.417Z,193,33001
2017-09-13T09:30:46.192Z,2017-09-13T09:30:46.192Z,193,33671
2017-09-13T09:27:38.927Z,2017-09-13T09:27:38.927Z,193,33661
2017-09-13T09:27:13.170Z,2017-09-13T09:27:13.170Z,193,32981
2017-09-11T14:35:38.763Z,2017-09-11T14:35:38.763Z,193,31961
2017-09-11T14:34:51.872Z,2017-09-11T14:34:51.872Z,193,31951
2017-09-11T14:32:40.601Z,2017-09-11T14:32:40.601Z,193,31941
2017-09-11T14:31:47.986Z,2017-09-11T14:31:47.986Z,193,31931
2017-09-11T14:28:54.468Z,2017-09-11T14:29:47.572Z,193,31921
2017-09-11T14:28:30.624Z,2017-09-11T14:28:30.624Z,193,31911
2017-09-11T14:28:21.313Z,2017-09-11T14:28:21.313Z,193,32501
2017-09-11T14:05:20.991Z,2017-09-11T14:05:20.991Z,193,32481
2017-09-11T13:52:57.779Z,2017-09-11T13:52:57.779Z,193,32471
2017-09-11T13:35:01.723Z,2017-09-11T13:35:01.723Z,193,32461
2017-09-11T13:30:42.198Z,2017-09-11T13:30:42.198Z,193,31901
2017-09-11T13:26:12.915Z,2017-09-11T13:26:12.915Z,193,31891
2017-09-11T13:18:59.705Z,2017-09-11T13:18:59.705Z,193,32451
2017-09-11T13:18:24.838Z,2017-09-11T13:18:24.838Z,193,32441
2017-09-11T13:16:42.648Z,2017-09-11T13:16:42.648Z,193,31881
2017-09-11T13:13:58.085Z,2017-09-11T13:13:58.085Z,193,32431
2017-09-11T13:06:05.171Z,2017-09-11T13:06:05.171Z,193,32421
2017-09-11T12:53:31.120Z,2017-09-11T12:53:31.120Z,193,32411
2017-09-11T12:13:22.905Z,2017-09-11T12:13:22.905Z,193,32401
2017-09-11T12:08:06.764Z,2017-09-11T12:08:06.764Z,193,32391
2017-09-11T12:02:08.201Z,2017-09-11T12:02:08.201Z,193,32381
2017-09-11T11:59:52.945Z,2017-09-11T11:59:52.945Z,193,32371
2017-09-11T11:54:55.087Z,2017-09-11T11:54:55.087Z,193,31851
2017-09-11T11:52:25.830Z,2017-09-11T11:52:25.830Z,193,31841
2017-09-11T11:44:45.711Z,2017-09-11T11:44:45.711Z,193,31831
2017-09-11T11:43:17.847Z,2017-09-11T11:43:17.847Z,193,32361
2017-09-11T11:42:58.592Z,2017-09-11T11:42:58.592Z,193,31821
2017-09-11T10:52:14.989Z,2017-09-11T10:52:14.989Z,193,31811
2017-09-11T10:51:50.724Z,2017-09-11T10:51:50.724Z,193,31801
2017-09-11T10:50:48.719Z,2017-09-11T10:50:48.719Z,193,32341
2017-09-11T10:47:45.605Z,2017-09-11T10:47:45.605Z,193,32331
2017-09-11T10:41:43.325Z,2017-09-11T10:41:43.325Z,193,31791
2017-09-11T10:38:48.627Z,2017-09-11T10:38:48.627Z,193,32321
2017-09-11T10:35:18.306Z,2017-09-11T10:35:18.306Z,193,32311
2017-09-11T10:32:08.963Z,2017-09-11T10:32:08.963Z,193,32301
2017-09-11T10:30:35.428Z,2017-09-11T10:30:35.428Z,193,32291
2017-09-11T10:29:00.494Z,2017-09-11T10:29:00.494Z,193,32281
2017-09-11T10:27:50.271Z,2017-09-11T10:27:50.271Z,193,31781
2017-09-11T10:27:05.088Z,2017-09-11T10:27:05.088Z,193,31771
2017-09-11T10:25:48.240Z,2017-09-11T10:25:48.240Z,193,32251
2017-09-11T10:24:02.028Z,2017-09-11T10:24:02.028Z,193,32241
2017-09-11T10:22:33.372Z,2017-09-11T10:22:33.372Z,193,32231
2017-09-11T10:21:44.042Z,2017-09-11T10:21:44.042Z,193,32221
2017-09-11T10:19:53.309Z,2017-09-11T10:19:53.309Z,193,31761
2017-09-11T10:18:21.832Z,2017-09-11T10:18:21.832Z,193,32211
2017-09-11T10:17:40.172Z,2017-09-11T10:17:40.172Z,193,32201
2017-09-11T10:16:55.045Z,2017-09-11T10:16:55.045Z,193,31751
2017-09-11T10:15:05.213Z,2017-09-11T10:15:05.213Z,193,32191
2017-09-11T10:00:11.218Z,2017-09-11T10:00:11.218Z,193,32171
2017-09-11T09:59:45.254Z,2017-09-11T09:59:45.254Z,193,31741
2017-09-11T09:58:07.713Z,2017-09-11T09:58:07.713Z,193,32161
2017-09-11T09:51:12.625Z,2017-09-11T09:51:12.625Z,193,32141
2017-09-11T09:44:47.858Z,2017-09-11T09:44:47.858Z,193,31731
2017-09-11T09:34:48.136Z,2017-09-11T09:34:48.136Z,193,32131
2017-09-11T09:27:23.417Z,2017-09-11T09:27:23.417Z,193,32121
2017-09-11T08:14:48.880Z,2017-09-11T08:14:48.880Z,193,31671
2017-09-11T07:52:49.340Z,2017-09-11T07:52:49.340Z,193,32081
2017-07-06T10:26:06.677Z,2017-08-22T15:10:17.438Z,193,11811
2017-08-03T15:25:36.965Z,2017-08-03T15:25:36.965Z,193,22221
2017-08-03T15:02:32.554Z,2017-08-03T15:02:32.554Z,193,21731
2017-08-02T14:53:52.588Z,2017-08-02T14:53:52.588Z,193,22061
2017-07-06T15:20:01.614Z,2017-07-06T15:20:01.614Z,193,11841
2017-07-04T08:51:41.403Z,2017-07-04T08:53:34.054Z,193,10881
2017-07-04T07:06:45.358Z,2017-07-04T07:48:36.285Z,193,10401
2017-07-03T09:53:28.743Z,2017-07-03T09:53:28.743Z,193,10261
2017-06-30T09:57:12.046Z,2017-06-30T10:10:05.778Z,193,9771
2017-06-20T15:02:38.177Z,2017-06-20T15:02:38.177Z,193,5691
2017-06-29T06:44:46.388Z,2017-07-21T05:48:29.207Z,212,8991
2018-02-21T10:18:58.563Z,2018-02-21T10:18:58.563Z,332,101461
2018-02-21T10:11:58.464Z,2018-02-21T10:11:58.464Z,332,101441
2018-02-21T10:09:56.024Z,2018-02-21T10:09:56.024Z,332,101431
2018-02-21T10:03:03.247Z,2018-02-21T10:03:03.247Z,332,101421
2018-02-20T11:41:03.425Z,2018-02-20T11:41:17.729Z,332,101241
2018-02-19T15:44:40.621Z,2018-02-19T15:54:28.224Z,332,101131
2017-11-21T15:11:04.881Z,2018-02-19T15:38:56.864Z,332,67391
2017-11-21T15:05:08.950Z,2017-11-21T15:05:08.950Z,332,67361
2017-10-20T15:09:35.505Z,2017-10-20T15:09:35.505Z,332,48391
2017-10-19T15:54:59.016Z,2017-10-19T15:54:59.016Z,332,47941
2017-10-19T15:52:39.710Z,2017-10-19T15:52:39.710Z,332,47931
2017-10-19T10:13:33.225Z,2017-10-19T10:14:11.989Z,332,47771
2017-10-19T09:56:50.214Z,2017-10-19T09:57:29.794Z,332,48141
2017-10-19T09:55:37.805Z,2017-10-19T09:55:37.805Z,332,47761
2017-10-19T09:43:14.519Z,2017-10-19T09:43:14.519Z,332,47741
2017-10-19T09:36:06.810Z,2017-10-19T09:39:48.408Z,332,47731
2017-10-19T09:25:40.026Z,2017-10-19T09:35:14.184Z,332,47721
2017-08-24T13:52:08.212Z,2017-08-24T13:52:45.792Z,463,27051
2017-08-24T13:51:27.503Z,2017-08-24T13:52:33.477Z,463,27041
2017-08-24T13:51:13.045Z,2017-08-24T13:52:19.077Z,463,27031
2017-10-19T21:09:09.476Z,2017-10-19T21:10:05.782Z,473,48281
2017-08-28T16:05:56.977Z,2017-09-01T10:35:53.441Z,473,27631
2017-09-01T07:15:27.999Z,2017-09-01T07:15:45.640Z,473,29211
2017-08-28T15:47:01.584Z,2017-08-28T15:49:19.367Z,473,28081
2018-04-02T11:48:17.423Z,2018-04-02T11:48:17.423Z,561,110211
2018-03-21T13:48:07.324Z,2018-03-21T13:48:07.324Z,561,107801
2018-03-19T11:25:17.962Z,2018-03-19T11:25:17.962Z,561,107031
2018-03-14T14:16:55.336Z,2018-03-14T14:16:55.336Z,561,105371
2018-03-14T14:16:43.490Z,2018-03-14T14:16:43.490Z,561,105361
2018-03-14T14:16:31.354Z,2018-03-14T14:16:31.354Z,561,105351
2018-03-14T14:16:22.323Z,2018-03-14T14:16:22.323Z,561,105341
2018-03-07T16:12:39.562Z,2018-03-07T16:12:39.562Z,561,103181
2018-02-28T20:38:17.124Z,2018-02-28T20:38:17.124Z,561,102551
2018-02-28T17:19:03.777Z,2018-02-28T19:48:09.746Z,561,102481
